Province/State;Country/Region;Lat;Long;1/22/20;1/23/20;1/24/20;1/25/20;1/26/20;1/27/20;1/28/20;1/29/20;1/30/20;1/31/20;02.01.2020;02.02.2020;02.03.2020;02.04.2020;02.05.2020;02.06.2020;02.07.2020;02.08.2020;02.09.2020;02.10.2020;02.11.2020;02.12.2020;2/13/20;2/14/20;2/15/20;2/16/20;2/17/20;2/18/20;2/19/20;2/20/20;2/21/20;2/22/20;2/23/20;2/24/20;2/25/20;2/26/20;2/27/20;2/28/20;2/29/20;03.01.2020;03.02.2020;03.03.2020;03.04.2020;03.05.2020;03.06.2020;03.07.2020;03.08.2020;03.09.2020;03.10.2020;03.11.2020;03.12.2020
;Thailand;15;101;2;3;5;7;8;8;14;14;14;19;19;19;19;25;25;25;25;32;32;32;33;33;33;33;33;34;35;35;35;35;35;35;35;35;37;40;40;41;42;42;43;43;43;47;48;50;50;50;53;59;70
;Japan;36;138;2;1;2;2;4;4;7;7;11;15;20;20;20;22;22;45;25;25;26;26;26;28;28;29;43;59;66;74;84;94;105;122;147;159;170;189;214;228;241;256;274;293;331;360;420;461;502;511;581;639;639
;Singapore;12.833;1.038.333;0;1;3;3;4;5;7;7;10;13;16;18;18;24;28;28;30;33;40;45;47;50;58;67;72;75;77;81;84;84;85;85;89;89;91;93;93;93;102;106;108;110;110;117;130;138;150;150;160;178;178
;Nepal;281.667;84.25;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;Malaysia;02. Mai;112.5;0;0;0;3;4;4;4;7;8;8;8;8;8;10;12;12;12;16;16;18;18;18;19;19;22;22;22;22;22;22;22;22;22;22;22;22;23;23;25;29;29;36;50;50;83;93;99;117;129;149;149
British Columbia;Canada;492.827;-1.231.207;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;2;4;4;4;4;4;4;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;9;12;13;21;21;27;32;32;39;46
New South Wales;Australia;-338.688;1.512.093;0;0;0;0;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;6;6;13;22;22;26;28;38;48;55;65;65
Victoria;Australia;-378.136;1.449.631;0;0;0;0;1;1;1;1;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;7;7;9;9;10;10;10;11;11;15;18;21;21
Queensland;Australia;-280.167;153.4;0;0;0;0;0;0;0;1;3;2;3;2;2;3;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;9;9;9;11;11;13;13;13;15;15;18;20;20
;Cambodia;Nov 55;1.049.167;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;3
;Sri Lanka;7;81;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2
;Germany;51;9;0;0;0;0;0;1;4;4;4;5;8;10;12;12;12;12;13;13;14;14;16;16;16;16;16;16;16;16;16;16;16;16;16;16;17;27;46;48;79;130;159;196;262;482;670;799;1040;1176;1457;1908;2078
;Finland;64;26;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;6;6;6;6;12;15;15;23;30;40;59;59
;United Arab Emirates;24;54;0;0;0;0;0;0;0;4;4;4;4;5;5;5;5;5;5;7;7;8;8;8;8;8;8;9;9;9;9;9;9;13;13;13;13;13;13;19;21;21;21;27;27;29;29;45;45;45;74;74;85
